"KEY","EN","BG","ESP"
"STR_CONVERTER_GAME_HISTORY","Converter Game History","История на конверторните игри","Historial de Juego de Conversión"
"STR_LOGS","Logs","Логове","Registros "
"STR_ALL_EVENTS_LOG","All Events Log","Всички данни за събития","Registro de Todos los Eventos"
"STR_ALL_NETWORK_LOGS","All Network Logs","Всички записвания на мрежата","Todos los Registros de Red"
"STR_NETWORK_LOGS","Network Logs","Записване на мрежа","Registros de Red"
"STR_SAS_PROGRESSIVE","SAS Progressive","SAS Прогресивен ","SAS Progresivo"
"STR_PPC_MYSTERY","PPC Mystery","Мистери PPC","PPC Misterio"
"STR_GENERAL_SETUP","General Setup","Общи настройки","Conf. General"
"STR_JURISDICTION_SETUP","Jurisdiction Setup","Настройка на юрисдикцията","Ajuste de Jurisdicción"
"STR_DEVICE_SETUP","Device Setup","Настройка на устройството","Ajuste de Dispositivo"
"STR_MONETARY_SETTINGS","Monetary Settings","Парични настройки","Configuración Monetaria"
"STR_CASH_OUT_OPTIONS","Cash Out Options","Опции за изплащане","Opciones de Retirada"
"STR_BILL_VALIDATOR_CHANNELS","Bill Validator Channels","Канали на банкното-валидатор","Canales de Validados de Billetes"
"STR_MECHANICAL_COUNTERS","Mechanical Counters","Механични броячи","Contadores Mecánicos"
"STR_LIMITS_SETUP","Limits Setup","Ограничава настройката","Ajuste de Límites"
"STR_AUTO_GAMBLE","Auto/Gamble","Автоматични игри","Auto/Apuesta"
"STR_VLT_SETUP","%productLable Setup","Настройка на %productLable","Ajuste %productLable"
"STR_VLT_COMMON","Common"
"STR_SAS_SETUP","SAS Setup","Настройка на SAS","Ajuste SAS"
"STR_SAS_COMMON","Common","Често срещани","Común"
"STR_SAS_CHANNELS","Channels","Канали","Canales"
"STR_SAS_VOUCHER_DATA","Voucher Data","Данни за ваучерите","Datos de Vale"
"STR_SAS_AFT_SETUP","AFT","AFT","AFT"
"STR_REAL_TIME_CLOCK","Real Time Clock","Часовник в реално време","Reloj Tiempo Real"
"STR_MACHINE_INFO","Machine Info","Информация за машината","Info de Máquina"
"STR_LAMP_TEST_MASK","Lamp Test Mask","Тестване на лампа","Máscara de Test de Lámpara"
"STR_LANGUAGES_SETUP","Languages Setup","Настройки на езиците","Ajuste de Idiomas"
"STR_MONITOR_SETUP","Monitor Setup","Настройка на монитора","Ajuste de Monitor"
"STR_GAME_SETUP","Game Setup","Настройки","Ajuste de Juego"
"STR_COMMON_SETUP","Common Setup","Общи Настройка","Ajuste Común"
"STR_GAME_PLAY","Game Play","Играй играта","Juego"
"STR_GAMES_SETTINGS","Games Settings","Настройки на игри","Configuración de Juegos"
"STR_GAME_MODE","Game Mode","Настройки на игри","Configuración de Juegos"
"STR_GAME_SELECT_VIEW","Game Select View","Изглед избор на игра",
"STR_GAME_TILE_SMALL","SMALL","МАЛКА",
"STR_GAME_TILE_BIG","BIG","ГОЛЯМА",
"STR_GAME_TILE_SIZE","BUTTON SIZE","Размер",
"STR_GAME_NAME","GAME NAME","ИМЕ НА ИГРАТА","Nombre del juego"
"STR_GAME_PAGES","PAGES FOR BIG BUTTON'S","Страници",
"STR_GAME_VIEW_RESET","RESET ALL","ИЗЧИСТИ ВСИЧКО",
"STR_GAME_VIEW_RESET_PAGES","RESET PAGES","ИЗЧИСТИ СТРАНИЦИТЕ",
"STR_GAME_VIEW_EDIT","EDIT BUTTONS' SIZE","ПРОМЕНИ РАЗМЕРА",
"STR_GAME_VIEW_PROCEED","PROCEED","ПРОДЪЛЖИ",
"STR_GAME_ROULETTE_CLIENT","Roulette","Рулетка",
"STR_GAME_PAGES_VALIDATION","%1 - Page not selected","1% - страницата не е избрана",
"STR_GAME_PAGES_NOT_SAVED","Validation unsuccessful!!! Pages Are Not Saved","Страниците не са запазени.",
"STR_GAME_MAX_GAMES_PER_PAGE_REACHED","Max big buttons for page %1 reached","Максимален брой игри на страница %1 достигнат",
,,,
"STR_GAME_VIEW_INFO_BUTTONS","• Select big buttons","• Изберете големи бутони",
"STR_GAME_VIEW_MAX_BIG","• Maximum number of big buttons %1","• Максимален брой големи бутони %1",
"STR_GAME_VIEW_BIG_LEFT","• Big buttons left %1","• Оставащи големи бутони %1",
"STR_GAME_VIEW_READY","• When ready press PROCEED","• При избрани големи бутони натиснете ПРОДЪЛЖИ",
"STR_GAME_VIEW_SELECT","• Select page for every big button","• Изберете страница за всеки голям бутон",
,,,
"STR_JACKPOTS_SETUP","Jackpots Setup","Настройка на JP","Ajuste de Jackpots"
"STR_GAME_JP_ASSIGNMENT","Game JP Assignment","Определяне на джакпота на играта","Asignación de JP de Juego"
"STR_PPJS","PPJS","PPJS","PPJS"
"STR_SECOND_MONITOR_SETTINGS","Second Monitor Settings","Втората настройка на монитора","Ajuste de Segundo Monitor"
"STR_STAND_ALONE","Stand Alone","Застанете сами","Independiente"
"STR_SERVICE","Service","Обслужване","Servicio"
"STR_HOPPER_FILL","Hopper Fill","Хопър пълни","Llenado de Tolva"
"STR_AUTHORIZATION","Authorization","Упълномощаване","Autorización"
"STR_DEAUTHORIZATION","Deauthorization","Разрешение","Desautorización"
"STR_LIFETIME_COUNTERS","Lifetime Counters","Доживотни броячи","Contadores Contínuos"
"STR_BLACKJACK_INSURANCE","When to offer Insurance:","Кога да се предлага застраховка:",
"STR_BLACKJACK_DOUBLE_AFTER_SPLIT","Double After Split is:","Double след Split e:",
"STR_BLACKJACK_SPLIT_ACES","Split Aces is:","Cплита на Аса е:",
"STR_BLACKJACK_SURRENDER","Early Surrender is:","Early Surrender e:",
"STR_BLACKJACK_REPORT_GAME_START_ON_CYCLE_END","Report game start on cycle end:",
"STR_BLACKJACK_RTP","Game Variant for All Player Denominations:","Варианти за всички деноминации:",
"STR_MULTIPLAYER_BET_AND_WIN_INFO","Bets and Wins by Fields:","Залози и печалби по полета:",""
"STR_MULTIPLAYER_BET_FIELD","Field: ","Поле: ",""
"STR_MULTIPLAYER_BET","Bet: ","Залог:",""
"STR_MULTIPLAYER_WIN","Win: ","Печалба:",""
"STR_MULTIPLAYER_GAME_START_AND_END_SIMULTANEOUSLY","Game Start & End Simultaneously:","",
"STR_BLACKJACK_INSURANCE_BET","Insurance Bet: ","Залог при застраховка:",""
"STR_BLACKJACK_INSURANCE_WIN","Insurance Win: ","Печалба при застраховка:",""
"STR_BLACKJACK_HAND_SCORE","Hand Score: ","Резултат:",""
"STR_MULTIPLAYER_PLAYER_SCORE","Player's Score: ","Резултат на играча:",""
"STR_MULTIPLAYER_PLAYER_CARDS","Player's Cards: ","Карти на играча:",""
"STR_MULTIPLAYER_DEALER_SCORE","Dealer's Score: ","Резултат на дилъра:",""
"STR_MULTIPLAYER_DEALER_CARDS","Dealer's Cards: ","Карти на дилъра:",""
"STR_MULTIPLAYER_PAIR","Pair","Чифт",""
"STR_MULTIPLAYER_NATURAL","Natural","Естествена",""
"STR_MULTIPLAYER_FROG","Frog","Жаба",""
"STR_MULTIPLAYER_FISH","Fish","Риба",""
"STR_GAME_TEST","Game Test","Тест Игра",
"STR_CHIP_BET","BET","ЗАЛОГ","APUESTA"
"STR_MULTIPLAYER_BANKER_SCORE","Banker's Score: ","Резултат на банкера:",""
"STR_MULTIPLAYER_BANKER_CARDS","Banker's Cards: ","Карти на банкера:",""
,,,
"STR_NVRAM_LAST_CLEARED","Cleared: %1","Изчистено: %1","Limpiado: %1"
"STR_SERIAL_NO","No: %1","No: %1","Nº: %1"
"STR_KEY_TYPE_CASHIER","Cashier","Касиер","Cajero"
"STR_KEY_TYPE_ADMIN","Admin","Админ","Admin"
"STR_KEY_TYPE_OWNER","Owner","Собственик","Propietario"
"STR_KEY_TYPE_UNKNOWN","Unknown","Неизвестен","Desconocido"
,,,
"STR_DESCRIPTION","Description:","Описание:","Descripción:"
"STR_STATE_DISABLED","Test disabled","Тестът не е активен","Test desactivado"
"STR_STATE_SHORT_CIRCUIT","Short circuit","Късо съединение","Cortocircuito"
"STR_STATE_OPEN_CIRCUIT","Open circuit","Отворена верига","Circuito abierto"
"STR_STATE_OK","Ok","Ok","Ok"
"STR_STATE_PRESSED","Pressed","Натиснат","Pulsado"
,,,
"STR_BUTTON_CASH_OUT","Cash Out","Изплащане","Cobrar"
"STR_BUTTON_SERVICE","Service","Обслужване","Servicio"
"STR_BUTTON_SELECT_GAME","More Games","Още Игри","Más juegos"
"STR_BUTTON_AUTO_PLAY","Auto Play","Автоматично изпълнение","Auto Play"
"STR_BUTTON_GAMBLE_SELECT_LINE","Gamble/Red Select Lines","Удвояване/Червено Избор на Линия","Doblar/Rojo Seleccionar Líneas"
"STR_BUTTON_GAMBLE_SELECT_BET","Gamble/Black Select Bet","Удвояване/Черно Избор на Залог","Doblar/Negro Seleccionar Apuesta"
"STR_BUTTON_TAKE_WIN","Take Win","Вземи печалба","Tomar Ganancia"
"STR_BUTTON_START","Start","Старт","Inicio"
"STR_BUTTON_START_STOP","Start/Stop","Старт/Стоп","Start/Stop"
"STR_BUTTON_B1","Button B1","Бутон B1","Botón B1"
"STR_BUTTON_B2","Button B2","Бутон B2","Botón B2"
"STR_BUTTON_B3","Button B3","Бутон B3","Botón B3"
"STR_BUTTON_B4","Button B4","Бутон B4","Botón B4"
"STR_BUTTON_B5","Button B5","Бутон B5","Botón B5"
"STR_BUTTON_L1","Button L1","Бутон L1","Botón L1"
"STR_BUTTON_L2","Button L2","Бутон L2","Botón L2"
"STR_BUTTON_L3","Button L3","Бутон L3","Botón L3"
"STR_BUTTON_L4","Button L4","Бутон L4","Botón L4"
"STR_BUTTON_L5","Button L5","Бутон L5","Botón L5"
"STR_BUTTON_TO_CREDITS","To Credits","Към Кредити","A Creditos"
"STR_BUTTON_TO_POINTS","To Points","Към Toчки","A Puntos"
"STR_BUTTON_TO_BANK","To Bank","Към Банка","A Banco"
"STR_BUTTON_AUTOMATIC","Automatic","Автоматично","Automatico"
"STR_BUTTON_BET","Bet","Залог","Apuesta"
,,,
"STR_BILL_VALIDATOR_DOOR","Bill Validator Door","Банкнотo валидатор","Puerta de Validador de Billetes"
"STR_MAIN_DOOR","Main Door","Главната Врата","Puerta Principal"
"STR_DROP_DOOR","Drop Door",,"Puerta de Caída"
"STR_BILL_STACKER_BOX_DOOR","Bill Stacker Box Door",,"Puerta de Apilador de Billetes"
"STR_BELLY_DOOR","Belly Door","Издутина във вратата","Puerta Central"
"STR_TOP_BOX_DOOR","Top Box Door","Врата на най-горната кутия","Puerta de Caja Superior"
"STR_EXT_DOOR","Door Ext","Външна врата","Puerta Ext"
"STR_LOGIC_DOOR","Logic Door","Врата към управлението","Puerta Lógica"
,,,
"STR_DOOR_OPENED","Opened","Отворен","Abierta"
"STR_DOOR_CLOSED","Closed","Затворен","Cerrada"
,,,
"STR_ATTENDANT_KEY","Attendant 0","Крупие 0","Attendant 0"
"STR_CASHIER_KEY","Cashier 0","Касиер 0","Cashier 0"
"STR_ADMIN_KEY","Admin 0","Администратор 0","Admin 0"
"STR_OWNER_KEY","Owner 0","Собственик 0","Owner 0"
,,,
"STR_KEY_NONE","No Key","Няма ключ","Sin Llave"
"STR_KEY_PRESENT","Present","Настоящ","Presente"
,,,
"STR_BATTERY_LEVEL","Battery Level","Ниво на батерията","Nivel del Batería"
,,,
"STR_BATTERY_OK","Operational","Оперативен","Operativo"
"STR_BATTERY_LOW","Low","Ниско","Bajo"
,,,
"STR_SOUND_MAIN_VOLUME","Volume: %1","Сила на звука: %1","Volumen: %1"
"STR_SOUND_MIN_VOLUME","Min volume must be at least %1","Минималната сила на звука трябва да бъде поне %1","El volumen mínimo debe ser al menos %1"
,,,
"STR_NETWORK_MAC","MAC address:","MAC адрес:","Dirección MAC:"
"STR_NETWORK_IP","IP address:","IP адрес:","Dirección IP:"
,,,
"STR_VERSIONS_GAME_VERSION","Game Version:","Игрова версия:","Versión del Juego:"
"STR_VERSIONS_GAME_FLASH_SHA1","Game Partition SHA-1:","SHA-1 на игрови дял:","Flash SHA-1 de Juego:"
"STR_VERSIONS_GAME_FLASH_SHA256","Game Partition SHA-256:","SHA-256 на игрови дял:","Flash SHA-256 de Juego:"
"STR_VERSIONS_SYSTEM_VERSION","System Version:","Системна версия:","Versión de Sistema:"
"STR_VERSIONS_SYSTEM_FLASH_SHA1","System Partition SHA-1:","SHA-1 на системен дял:","Flash SHA-1 de Sistema:"
"STR_VERSIONS_SYSTEM_FLASH_SHA256","System Partition SHA-256:","SHA-256 на системян дял:","Flash SHA-256 de Sistema:"
"STR_VERSIONS_FLASH_DISK_SHA1","Flash Disk Signature SHA-1:",,
"STR_VERSIONS_FLASH_DISK_MD5","Flash Disk Signature MD5:",,
"STR_VERSIONS_FLASH_DISK_2_SHA1","Second Flash Disk Signature SHA-1:",,
"STR_VERSIONS_FLASH_DISK_2_MD5","Second Flash Disk Signature MD5:",,
"STR_VERSIONS_BILL_VALIDATOR_DATA","Bill Validator Data:","Данни за Банкното-Валидатора:","Datos de Validador de Billetes:"
"STR_VERSIONS_ID_READER_DATA","ID Card Scanner Data:",,
"STR_VERSIONS_TICKET_PRINTER_DATA","Ticket Printer Data:","Данни за принтирани билети:","Datos de Impresora de Tickets:"
"STR_VERSIONS_COMMIT_ID","Commit ID:","Къмит ID:","Commit ID:"
"STR_VERSIONS_MAIN_TOUCH_SCREEN_ID","Main Touch VID:PID:","Главен Тъч екран VID:PID:","Versión de Sistema:"
"STR_VERSIONS_VKB_TOUCH_SCREEN_ID","Video Keyboard Touch VID:PID:","Видео Клавиатува Тъч екран VID:PID:","Versión de Sistema:"
"STR_VERSIONS_CABINET_ID","Cabinet ID:","Кабинет ID:","Versión de Sistema:"
"STR_SAS_ROM_SIGNATURE_ID","SAS ROM Signature:","",""
,,,
"STR_FIRST_TOUCHSCREEN","FIRST TOUCHSCREEN","ПЪРВИ ТЪЧ ЕКРАН","PRIMERA PANTALLA TÁCTIL"
"STR_CALIBRATION_TEST","CALIBRATION TEST","КАЛИБРАЦИОНЕН ТЕСТ","TEST DE CALIBRACIÓN"
"STR_TOUCH_HERE","TOUCH HERE!","НАТИСНИ ТУК!","¡TOQUE AQUÍ!"
,,,
"STR_CALIBRATE_VIDEO_VKB","Calibrate video keyboard","Калибрирайте видео клавиатурата","Calibrar el teclado de video"
"STR_CALIBRATE_VIDEO_VKB_FINISHED","Video keyboard calibration finished","Калибрацията на видео клавиатурата приключи","Terminó la calibración del teclado de video"
,,,
"STR_NOT_SET","Not Set","Не е зададено","No Configurado"
"STR_ENABLE","Enable","Влючване","Activar"
"STR_DISABLE","Disable","Изключване","Desactivar"
"STR_NOT_IN_USE","Not In Use","Не се използва","No en Uso"
"STR_NONE","None","Нито един","Ninguno"
"STR_FIXED","Fixed","Фиксирани","Arreglado"
"STR_SELECTABLE","Selectable","Избираеми","Seleccionable"
"STR_A_ONLY","vs.A only","само срещу А",
"STR_SEVEN_TO_A","vs.7-A","срещу 7-A",
"STR_ENABLE_NOT_A","Enabled vs.2-K","Разрешен не А",
"STR_ENABLE_ALL","Enabled vs.2-A","Винаги разрешен",
"STR_SLOW","Slow","Бавно",
"STR_MEDIUM","Medium","Средно",
"STR_FAST","Fast","Бързо",
,,,
"STR_PAYMENT_HOPPER","Payment on Empty Hopper:",,"Pago en Tolva Vacía:"
"STR_PAYMENT_TOKEN","Fractional Token Payment:",,"Pago Fraccionado en Token:"
,,,
"STR_JURISDICTION","Jurisdiction:","Юрисдикция","Jurisdicción:"
"STR_SUBJURISDICTION","Subjurisdiction:","Подюрисдикция","Subjurisdicción:"
"STR_CASH_IN_OUT_BEHAVIOR","Cash In/Out behavior:"," "," "
"STR_JURISDICTION_STANDARD","Standard","Стандард","Estándar"
"STR_JURISDICTION_HUNGARY_25","Hungary - 25","Унгария -25","Hungría - 25"
"STR_JURISDICTION_HUNGARY_200","Hungary - 200","Унгария -200","Hungría - 200"
"STR_JURISDICTION_HUNGARY_500","Hungary - 500","Унгария -500","Hungría - 500"
"STR_JURISDICTION_FRANCE","France","Франция","Francés"
"STR_JURISDICTION_SOUTH_AFRICA","South Africa","Южна Африка","Sudafricano"
"STR_JURISDICTION_SWITZERLAND_A","Switzerland A","Швейцария A","Suiza A"
"STR_JURISDICTION_SWITZERLAND_B","Switzerland B","Швейцария Б","Suiza B"
"STR_JURISDICTION_GLI_11","GLI 11","GLI 11","GLI 11"
"STR_JURISDICTION_BELARUS","Belarus","Беларус","Bielorrusia"
"STR_JURISDICTION_AUSTRALIA","Australia","Австралия","Australia"
"STR_JURISDICTION_CZECH_REPUBLIC","Czech Republic","Чехия","República Checa"
"STR_JURISDICTION_SPAIN_1","Spain 1","Испания 1","España 1"
"STR_JURISDICTION_SPAIN_2","Spain 2","Испания 2","España 2"
"STR_JURISDICTION_ROMANIA","Romania","Romania","Romania,,,"
"STR_JURISDICTION_MACEDONIA","Macedonia","Македония","Macedonia,,,"
"STR_JURISDICTION_SLOVAKIA","Slovakia","Slovakia,Slovakia,,,"
"STR_JURISDICTION_BOSNIA_AND_HERZEGOVINA","Bosnia and Herzegovina","Bosnia and Herzegovina","Bosnia and Herzegovina,,,"
"STR_JURISDICTION_CHILE","Chile","Чили","España 2"
"STR_JURISDICTION_SPAIN_VLT","Spain-vlt","Испания-vlt","España-vlt"
"STR_CELEBRATION_LOCKUP_GENERAL","General","Общ","General"
"STR_CELEBRATION_LOCKUP_SUN_INTERNATIONAL","Sun International","Сън Интернешънъл","Sun International"
"STR_SUBJURISDICTION_VLT","VLT","VLT","VLT"
"STR_SUBJURISDICTION_CASINO","Casino","Casino","Casino"
"STR_CASH_BEHAVIOR_VLT_PAYOUT","VLT Payout","VLT Payout","VLT Payout"
"STR_CASH_BEHAVIOR_SAS_PAYOUT","SAS Payout","SAS Payout","SAS Payout"
,,,
"STR_CURRENCY_CODE","Currency Code:","Валутен код:","Código de Divisa:"
"STR_PARTIAL_CASH_OUT_LIMIT_LABEL","Partial Cash Out Limit:",,
"STR_PLAYER_DENOMINATIONS_COUNT","Number of Player Denominations:","Брой деноминации:","Número de Denominaciones de Jugador:"
"STR_PLAYER_DENOMINATION","%1 Player Denomination:","Деноминация %1:","Denominación de Jugador %1:"
"STR_PLAYER_DENOMINATION_BLACKJACK","%1 Player Denomination: %2","%1 Деноминация %2:","%1 Denominación de Jugador %2:"
"STR_COIN_TOKEN_DENOMINATION","Coin/Token Denomination:","Монета/Жетон Деноминация:","Denominación de Moneda/Token:"
"STR_DECIMAL_POINT_ON_JP_SCREEN","Decimal Point on Jackpot Screen:","Десетична точка на Джакпотния Екран:","Punto Decimal en Pantalla de Jackpot:"
"STR_ATTENDANT_ADD_CREDID","Attendant Add Credit:","Добавяне на кредити от крупие:","Añadir Crédito Asistente:"
"STR_ACCOUNTING_DENOMINATION","Accounting Denomination:","Отчет на Деноминация:","Denominación de Contabilidad:"
"STR_CREDIT_FIELD_DISPLAY","Display Credits/Money:","Показване на кредитното поле:","Pantalla de Campo de Crédito:"
"STR_SHOW_COLLECTED_INFO","Show Collected Information:","Показване на събраната информация:","Mostrar Información Recopilada:"
"STR_ENABLE_CASHOUT_ON_FORBIDDEN_MACHINE","Enable Cash Out On Forbidden Machine:","Включване на изплащането на забранена машина:","Activar Cobro en Maquina Prohibida:"
"STR_ALWAYS_HANDPAY_JP","Always Handpay Jackpots:","Винаги сплаш за Джакпота:","Siempre Pagar en Mano Jackpots:"
"STR_CURRENCY_MODE","Currency Mode:","Валутен режим:","Modo de Divisa:"
"STR_PLAY_LEFTOVER_BET","Play Left-over Bet:",,"Jugar Sobrante de Apuesta:"
,,,
"STR_TOGGLE_ALLOWED","Toggle allowed","Превключването е разрешено","Permitido conmutar"
"STR_ALWAYS_IN_CREDITS","Always in credits","Винаги в кредити","Siempre en créditos"
"STR_ALWAYS_IN_MONEY","Always in money","Винаги в пари","Siempre en dinero"
"STR_MONEY","Money","Пари","Dinero"
"STR_CREDITS","Credit","Кредит","Créditos"
"STR_POINTS","Points","Точки","Puntos"
"STR_SIGN","Sign","Знак","Firmar"
,,,
"STR_BILL_VALIDATOR_LABEL","Bill Validator:","Банкното-Валидатор:","Validador de Billetes:"
"STR_COIN_ACCEPTOR_LABEL","Coin Acceptor:","Апарат за монети:","Admisor de Moneda:"
"STR_HOPPER_LABEL","Hopper:","Хопър:","Tolva:"
"STR_TICKET_PRINTER_LABEL","Printer:","Принтер:","Impresora"
"STR_IDREADER_LABEL","Id Card Scanner:","Id Card Scanner:","Id Card Scanner:"
,,,
"STR_ID003","ID003",,"ID003"
"STR_NV200","NV200",,"NV200"
"STR_MEI","MEI","MEI","MEI"
"STR_ITL","ITL","ITL","ITL"
"STR_CONDORPREMIER","Condor Premier","Condor Premier","Condor Premier"
"STR_MC62","MC62","MC62","MC62"
"STR_MC_SR5i","MC SR5i (CCTalk)","MC SR5i (CCTalk)","MC SR5i (CCTalk)"
"STR_SUZOEXCEL","SUZOExcel","SUZOExcel","SUZOExcel"
"STR_SUZOHAPP","SUZOHapp (CCTalk)","SUZOHapp (CCTailk)","SUZOHapp (CCTalk)"
"STR_TRANSACTEPIC","EPIC Ithaca/Edge","EPIC Ithaca/Edge","EPIC Ithaca/Edge"
"STR_FUTURELOGIC","Future Logic","Future Logic","Future Logic"
"STR_JCM","JCM","JCM","JCM"
"STR_NANOPTIX","Nanoptix","Nanoptix","Nanoptix"
,,,
"STR_RAKINDA","Rakinda","Rakinda","Rakinda"
"STR_IDREADER_INIT_FAIL","Validation unsuccessful !!! Could not connect to Id Card Scanner device!",,
"STR_IDREADER_WAITING",Waiting for data from Id Card Scanner... Please wait!,,
,,,
"STR_PRINTER_VALIDATION","Validation unsuccessful!!! Wrong printer configured","Валидацията не е успешна!!! Грешни настройки на принтера","¡¡¡Validación fallida!!! Impresora incorrecta configurada"
"STR_NOT_SET_VALIDATION","Validation unsuccessful!!! At Least One Active Parameter is Not Set","Валидацията не е успешна!!! Всички параметри са активни","¡¡¡Validación fallida!!! Al Menos Un Parámetro Activo No Está Configurado"
"STR_DENOM_VALIDATION","Validation unsuccessful!!! At Least One Active Denom Must Be Selected",,
"STR_INVALID_CURRENCY","Validation unsuccessful!!! Currency cannot be empty.","Валидацията не е успешна!!! Полето за валутата не може да бъде празна","¡¡¡Validación fallida!!! La divisa no puede estar vacía."
"STR_INVALID_CURRENCY_SIZE","Validation unsuccessful!!! Currency code must contain 3 alphabetic symbols",,"¡¡¡Validación fallida!!! El código de moneda debe contener 3 símbolos alfabéticos"
"STR_BILLVALIDATOR_VALIDATION","Validation unsuccessful!!! Bill Validator Type is Not Accepted","Валидацията не е успешна!!! Модела на Банкното-Валидатора не се приема.","¡¡¡Validación fallida!!! El Tipo de Validador de Billetes No es Aceptado"
"STR_CHANNELS_VALIDATION","Validation unsuccessful!!! At Least One Channel is Not Set","Валидацията не е успешна!!! Всички параметри са активни","¡¡¡Validación fallida!!! Al Menos Un Canal No Está Configurado"
"STR_SETUP_MODE_VALIDATION","Validation unsuccessful!!! Setup Mode is Not Set","Валидацията не е успешна!!! Режимът на настройка не е зададен","¡¡¡Validación fallida!!! El Modo de Configuración No Está Configurado"
"STR_INVALID_GAMBLE_LIMIT","Validation unsuccessful!!! Invalid gamble limit set","Валидацията не е успешна!!! Невалидна настройка на лимита за удвояване на печалба","¡¡¡Validación fallida!!! Límite de Apuesta Configurado Inválido"
"STR_ALL_LANGUAGES_DISABLED","Validation unsuccessful!!! At least one language must be enabled","Валидацията не е успешна!!! Поне един език трябва да е настроен","¡¡¡Validación fallida!!! Al menos un idioma ha de estar activo"
