"KEY","EN","BG","ESP","PT"
"Accounting","Contabilidad","Contabilidade"
"Export Settings","Exportar Configuración","Exportar Configurações"
"Export Game Accounting","Exportar Contabilidad de Juego","Exportar Contabilidade do Jogo"
"Export PDF Settings","Exportar Configuración PDF","Exportar Configurações de PDF"
"Export Update Settings","Exportar Configuración para Actualizar","Exportar Configurações de Atualização"
"Import Settings","Importar Configuración","Configurações de Importação"
"Market Settings","Market Configuración","Configurações de Mercado"
"Import Games Settings","Importar Juego Configuración","Importar Configurações de Jogos"
"Game Version Mismatch","Versiones de Juego No Coincidentes","Versão do Jogo Incompatível"
"Invalid Jurisdiction Configuration","Configuración de Jurisdicción Incorrecta","Configuração de Jurisdição Inválida"
"Invalid Market Configuration","Configuración de Mercado Incorrecta","Configuração de Mercado Inválida"
"Programs Versions","Versiones de Programas","Versões de Programas"
"Debug Log","Registro de Debug","Registro de Resolução de Bugs"
"History","Historial","Histórico"
"Game History","Historial de Juego","Histórico do Jogo"
"Converter Game History","Historial de Juego de Conversión","Histórico do Jogo Conversor"
"Logs","Registros","Registro"
"All Events Log","Registro de Todos los Eventos","Registro de Todos os Eventos"
"All Network Logs","Todos los Registros de Red","Todos os Registros de Rede"
"Network Logs","Registros de Red","Registros de Rede"
"SAS Progressive","SAS Progresivo","SAS Progressivo"
"PPC Mystery","PPC Misterio","Mistério do PPC"
"General Setup","Conf. General","Configuração Geral"
"Jurisdiction Setup","Ajuste de Jurisdicción","Configuração de Jurisdição"
"Device Setup","Ajuste de Dispositivo","Configuração do Dispositivo"
"Monetary Settings","Configuración Monetaria","Configurações Monetárias"
"Cash Out Options","Opciones de Retirada","Opções de Saque"
"Bill Validator Channels","Canales de Validados de Billetes","Canais Validadores de Notas"
"Mechanical Counters","Contadores Mecánicos","Contadores Mecânicos"
"Limits Setup","Ajuste de Límites","Configuração de Limites"
"Auto/Gamble","Auto/Apuesta","Automático/Apostar"
"%productLable Setup","Ajuste %productLable","Configuração de %productLable"
"Common","Común","Comum"
"SAS Setup","Ajuste SAS","Configuração SAS"
"Common","Común","Comum"
"Channels","Canales","Canais"
"Voucher Data","Datos de Vale","Dados do Cupom"
"AFT","AFT","AFT"
"Real Time Clock","Reloj Tiempo Real","Relógio com Horário Real"
"Machine Info","Info de Máquina","Informações da Máquina"
"Lamp Test Mask","Máscara de Test de Lámpara","Máscara do Teste da Iluminação"
"Languages Setup","Ajuste de Idiomas","Configuração de Idiomas"
"Monitor Setup","Ajuste de Monitor","Configuração do Monitor"
"Game Setup","Ajuste de Juego","Configuração do Jogo"
"Common Setup","Ajuste Común","Configuração Comum"
"Game Play","Juego","Jogabilidade"
"Games Settings","Configuración de Juegos","Configurações de Jogos"
"Game Mode","Configuración de Juegos","Modo de Jogo"
"Game Select View","Vista de Selección de Juego","Visualização de Seleção de Jogo"
"SMALL","PEQUEÑO","PEQUENO"
"BIG","GRANDE","GRANDE"
"BUTTON SIZE","TAMAÑO DE BOTÓN","TAMANHO DO BOTÃO"
"GAME NAME","Nombre del juego","NOME DO JOGO"
"PAGES FOR BIG BUTTON'S","PÁGINAS PARA BOTONES GRANDES","PÁGINAS PARA BOTÕES GRANDES"
"RESET ALL","REINICIAR TODO","REDEFINIR TUDO"
"RESET PAGES","REINICIAR PÁGINAS","REDEFINIR PÁGINAS"
"EDIT BUTTONS' SIZE","EDITAR TAMAÑO DE BOTÓN","EDITAR TAMANHO DOS BOTÕES"
"PROCEED","PROCEDER","CONTINUAR"
"Roulette","Ruleta","Roleta"
"%1 - Page not selected","%1 - Página no seleccionada","%1 - Página não selecionada"
"Validation unsuccessful!!! Pages Are Not Saved","¡¡¡Validación fallida!!! Páginas No Guardadas","Erro na validação!!! As páginas não estão salvas"
"Max big buttons for page %1 reached","Máx de botones grandes por página %1 alcanzado","Limite máx. de botões grandes para a página %1 atingido"
,,
"• Select big buttons","• Seleccionar botones grandes","• Selecionar botões grandes"
"• Maximum number of big buttons %1","• Número máximo de botones grandes %1","• Número máximo de botões grandes %1"
"• Big buttons left %1","• Botones grandes restantes %1","• Botões grandes restantes %1"
"• When ready press PROCEED","• Cuando esté listo pulse PROCEDER","• Quando estiver pronto, aperte CONTINUAR"
"• Select page for every big button","• Seleccione página para cada botón grande","• Selecionar a página para cada botão grande"
,,
"Jackpots Setup","Ajuste de Jackpots","Configuração de Jackpots"
"Game JP Assignment","Asignación de JP de Juego","Atribuição de Jackpot do Jogo"
"PPJS","PPJS","PPJS"
"Second Monitor Settings","Ajuste de Segundo Monitor","Configurações do Segundo Monitor"
"Stand Alone","Independiente","Independente"
"Service","Servicio","Serviço"
"Hopper Fill","Llenado de Tolva","Enchimento da Cesta"
"Authorization","Autorización","Autorização"
"Deauthorization","Desautorización","Desautorização"
"Lifetime Counters","Contadores Contínuos","Contadores Desde o Início"
"When to offer Insurance:","Cuándo ofrecer Seguro:","Quando oferecer Seguro:"
"Double After Split is:","Doblar tras Dividir es:","Dobrar após uma Divisão está:"
"Split Aces is:","Dividir Ases es:","Ases Divididos estão:"
"Early Surrender is:","Rendición Temprana es:","A Desistência Antecipada está:"
"Report game start on cycle end:","Reportar inicio de juego a fin de ciclo:","Informar o início do jogo no final do ciclo:"
"Game Variant for All Player Denominations:","Variante de Juego para Todas las Denominaciones de Jugadores","Variante de Jogo para Todas as Denominações de Jogadores:"
"Bets and Wins by Fields:","Apuestas y Ganancias por Campos:","Apostas e Prêmios por Campo:"
"Field: ","Campo:","Campo:"
"Bet: ","Apuesta:","Aposta:"
"Win: ","Premio:","Prêmio:"
"Game Start & End Simultaneously:","Juego Comienza y Termina Simultáneamente","Início e Fim do Jogo Simultâneos:"
"Insurance Bet: ","Apuesta Seguro:","Aposta de Seguro:"
"Insurance Win: ","Premio Seguro:","Prêmio de Seguro:"
"Hand Score: ","Resultado de Mano:","Pontuação da Mão:"
"Player's Score: ","Resultado de Jugador:","Pontuação do Jogador:"
"Player's Cards: ","Cartas del Jugador:","Cartas do Jogador:"
"Dealer's Score: ","Resultado del Crupier:","Pontuação do Crupiê:"
"Dealer's Cards: ","Cartas del Crupier:","Cartas do Crupiê:"
"Pair","Pareja","Par"
"Natural","Natural","Natural"
"Frog","Rana","Sapo"
"Fish","Pez","Peixe"
"Game Test","Test de Juego","Teste de Jogo"
"BET","APUESTA","APOSTA"
"Banker's Score: ","Resultado de la Banca:","Pontuação do Banqueiro:"
"Banker's Cards: ","Cartas de la Banca:","Cartas do Banqueiro:"
,,
"Cleared: %1","Limpiado: %1","Limpo: %1"
"No: %1","Nº: %1","№: %1"
"Cashier","Cajero","Caixa"
"Admin","Admin","Administrador"
"Owner","Propietario","Proprietário"
"Unknown","Desconocido","Desconhecido"
,,
"Description:","Descripción:","Descrição:"
"Test disabled","Test desactivado","Teste desativado"
"Short circuit","Cortocircuito","Circuito curto"
"Open circuit","Circuito abierto","Circuito aberto"
"Ok","Ok","OK"
"Pressed","Pulsado","Pressionado"
,,
"Cash Out","Cobrar","Sacar"
"Service","Servicio","Serviço"
"More Games","Más juegos","Mais Jogos"
"Auto Play","Auto Play","Jogo Automático"
"Gamble/Red Select Lines","Doblar/Rojo Seleccionar Líneas","Apostar/Vermelho Selecionar Linhas"
"Gamble/Black Select Bet","Doblar/Negro Seleccionar Apuesta","Apostar/Preto Selecionar Aposta"
"Take Win","Tomar Ganancia","Pegar Prêmio"
"Start","Inicio","Começar"
"Start/Stop","Start/Stop","Começar/Parar"
"Button B1","Botón B1","Botão B1"
"Button B2","Botón B2","Botão B2"
"Button B3","Botón B3","Botão B3"
"Button B4","Botón B4","Botão B4"
"Button B5","Botón B5","Botão B5"
"Button L1","Botón L1","Botão L1"
"Button L2","Botón L2","Botão L2"
"Button L3","Botón L3","Botão L3"
"Button L4","Botón L4","Botão L4"
"Button L5","Botón L5","Botão L5"
"To Credits","A Creditos","Para Créditos"
"To Points","A Puntos","Para Pontos"
"To Bank","A Banco","Para o Banco"
"Automatic","Automatico","Automático"
"Bet","Apuesta","Aposta"
,,
"Bill Validator Door","Puerta de Validador de Billetes","Porta do Validador de Notas"
"Main Door","Puerta Principal","Porta Principal"
"Drop Door","Puerta de Caída","Porta de Queda"
"Bill Stacker Box Door","Puerta de Apilador de Billetes","Porta da Caixa do Empilhador de Notas"
"Belly Door","Puerta Central","Porta da Barriga"
"Top Box Door","Puerta de Caja Superior","Porta da Caixa Superior"
"Door Ext","Puerta Ext","Porta Ext"
"Logic Door","Puerta Lógica","Porta Lógica"
,,
"Opened","Abierta","Aberta"
"Closed","Cerrada","Fechada"
,,
"Attendant 0","Attendant 0","Atendente 0"
"Cashier 0","Cashier 0","Caixa 0"
"Admin 0","Admin 0","Administrador 0"
"Owner 0","Owner 0","Proprietário 0"
,,
"No Key","Sin Llave","Sem Chave"
"Present","Presente","Presente"
,,
"Battery Level","Nivel del Batería","Nível de Bateria"
,,
"Operational","Operativo","Operacional"
"Low","Bajo","Baixo"
,,
"Volume: %1","Volumen: %1","Volume: %1"
"Min volume must be at least %1","El volumen mínimo debe ser al menos %1","O volume mín. deve ser pelo menos %1"
,,
"MAC address:","Dirección MAC:","Endereço MAC:"
"IP address:","Dirección IP:","Endereço IP:"
,,
"Game Version:","Versión del Juego:","Versão do Jogo:"
"Game Partition SHA-1:","Flash SHA-1 de Juego:","Partição SHA-1 do Jogo:"
"Game Partition SHA-256:","Flash SHA-256 de Juego:","Partição SHA-256 do Jogo:"
"Game Partition MD5:","Flash MD5 de Juego:","Partição MD5 do Jogo:"
"System Version:","Versión de Sistema:","Versão do Sistema:"
"Flash Disk SHA-1:","Flash Disk SHA-1:","Disco de Flash SHA-1:"
"Flash Disk-256:","Flash Disk-256:","Disco de Flash-256:"
"Flash Disk MD5:","Flash Disk MD5:","Disco de Flash MD5:"
"Flash MD5:","Flash MD5:","Flash MD5:"
"Bill Validator Data:","Datos de Validador de Billetes:","Dados do Validador de Notas:"
"ID Card Scanner Data:","Datos de Escáner de Tarjeta ID:","Dados do Digitalizador de Carteira de Identidade:"
"Ticket Printer Data:","Datos de Impresora de Tickets:","Dados da Impressora de Bilhetes:"
"Commit ID:","Commit ID:","ID de Confirmação:"
"Main Touch VID:PID:","Versión de Sistema:","VID:PID da Tela Sensível ao Toque Principal:"
"Video Keyboard Touch VID:PID:","Versión de Sistema:","VID:PID da Tela Sensível ao Toque do Teclado de Vídeo:"
"Cabinet ID:","Versión de Sistema:","ID do Gabinete:"
"SAS ROM Signature:","Firma ROM SAS:","Assinatura ROM SAS:"
,,
"FIRST TOUCHSCREEN","PRIMERA PANTALLA TÁCTIL","PRIMEIRA TELA SENSÍVEL AO TOQUE"
"CALIBRATION TEST","TEST DE CALIBRACIÓN","TESTE DE CALIBRAÇÃO"
"TOUCH HERE!","¡TOQUE AQUÍ!","TOQUE AQUI!"
,,
"Calibrate video keyboard","Calibrar el teclado de video","Calibrar teclado de vídeo"
"Video keyboard calibration finished","Terminó la calibración del teclado de video","Calibração do teclado de vídeo concluída"
,,
"Not Set","No Configurado","Sem Definição"
"Enable","Activar","Habilitar"
"Disable","Desactivar","Desabilitar"
"Not In Use","No en Uso","Fora de Uso"
"None","Ninguno","Nenhum"
"Fixed","Arreglado","Fixo"
"Selectable","Seleccionable","Selecionável"
"vs.A only","vs.A solo","apenas vs.A"
"vs.7-A","vs.7-A","vs.7-A"
"Enabled vs.2-K","vs.2-K activado","vs.2-K habilitada"
"Enabled vs.2-A","vs.2-A activado","vs.2-A habilitada"
"Slow","Lento","Lento"
"Medium","Medio","Médio"
"Fast","Rápido","Rápido"
,,
"Payment on Empty Hopper:","Pago en Tolva Vacía:","Pagamento na Cesta Vazia:"
"Fractional Token Payment:","Pago Fraccionado en Token:","Pagamento de Token Fracionário:"
,,
"Jurisdiction:","Jurisdicción:","Jurisdição:"
"Subjurisdiction:","Subjurisdicción:","Subjurisdição:"
"Standard","Estándar","Padrão"
"Hungary - 25","Hungría - 25","Hungria - 25"
"Hungary - 200","Hungría - 200","Hungria - 200"
"Hungary - 500","Hungría - 500","Hungria - 500"
"France","Francés","França"
"South Africa","Sudafricano","África do Sul"
"Switzerland A","Suiza A","Suíça A"
"Switzerland B","Suiza B","Suíça B"
"GLI 11","GLI 11","GLI 11"
"Belarus","Bielorrusia","Bielorrússia"
"Australia","Australia","Austrália"
"Czech Republic","República Checa","Chéquia"
"Spain 1","España 1","Espanha 1"
"Spain 2","España 2","Espanha 2"
"Romania","Romania","Romênia"
"Macedonia","Macedonia","Macedônia do Norte"
"Slovakia","Eslovaquia","Eslováquia"
"Bosnia and Herzegovina","Bosnia and Herzegovina,,,","Bósnia e Herzegovina"
"Chile","España 2","Chile"
"General","General","Geral"
"Sun International","Sun International","Sun International"
,,
"Currency Code:","Código de Divisa:","Código da Moeda:"
"Partial Cash Out Limit:","Límite de Retirada Parcial:","Limite de Saque Parcial:"
"Number of Player Denominations:","Número de Denominaciones de Jugador:","Número de Denominações de Jogadores:"
"%1 Player Denomination:","Denominación de Jugador %1:","Denominação do Jogador %1:"
"%1 Player Denomination: %2","%1 Denominación de Jugador %2:","Denominação do Jogador %1: %2"
"Coin/Token Denomination:","Denominación de Moneda/Token:","Denominação da Moeda/Token:"
"Decimal Point on Jackpot Screen:","Punto Decimal en Pantalla de Jackpot:","Ponto Decimal na Tela de Jackpot:"
"Attendant Add Credit:","Añadir Crédito Asistente:","Atendente Adicionar Crédito:"
"Accounting Denomination:","Denominación de Contabilidad:","Denominação Contábil:"
"Display Credits/Money:","Pantalla de Campo de Crédito:","Exibir Créditos/Dinheiro:"
"Show Collected Information:","Mostrar Información Recopilada:","Mostrar Informações Coletadas:"
"Enable Cash Out On Forbidden Machine:","Activar Cobro en Maquina Prohibida:","Habilitar Saque em Máquina Proibida:"
"Always Handpay Jackpots:","Siempre Pagar en Mano Jackpots:","Sempre Pagar Jackpots Manualmente:"
"Currency Mode:","Modo de Divisa:","Modo de Moeda:"
"Play Left-over Bet:","Jugar Sobrante de Apuesta:","Jogar Aposta Restante:"
,,
"Toggle allowed","Permitido conmutar","Alternação Permitida"
"Always in credits","Siempre en créditos","Sempre em créditos"
"Always in money","Siempre en dinero","Sempre em dinheiro"
"Money","Dinero","Dinheiro"
"Credit","Créditos","Crédito"
"Points","Puntos","Pontos"
"Sign","Firmar","Símbolo"
,,
"Bill Validator:","Validador de Billetes:","Validador de Notas:"
"Coin Acceptor:","Admisor de Moneda:","Aceitante de Moedas:"
"Hopper:","Tolva:","Cesta:"
"Printer:","Impresora","Impressora:"
"Id Card Scanner:","Id Card Scanner:","Digitalizador de Carteira de Identidade:"
,,
"ID003","ID003","ID003"
"NV200","NV200","NV200"
"MEI","MEI","MEI"
"ITL","ITL","ITL"
"Condor Premier","Condor Premier","Condor Premier"
"MC62","MC62","MC62"
"MC SR5i (CCTalk)","MC SR5i (CCTalk)","MC SR5i (CCTalk)"
"SUZOExcel","SUZOExcel","SUZOExcel"
"SUZOHapp (CCTalk)","SUZOHapp (CCTalk)","SUZOHapp (CCTalk)"
"EPIC Ithaca/Edge","EPIC Ithaca/Edge","EPIC Ithaca/Edge"
"Future Logic","Future Logic","Future Logic"
"JCM","JCM","JCM"
"Nanoptix","Nanoptix","Nanoptix"
,,
"Rakinda","Rakinda","Rakinda"
"Validation unsuccessful !!! Could not connect to Id Card Scanner device!","¡¡¡Validación fallida!!! ¡No se pudo conectar a dispositivo Escáner de Tarjeta Id!","Erro na validação!!! Não foi possível conectar ao dispositivo Digitalizador de Carteira de Identidade!"
"Waiting for data from Id Card Scanner... Please wait!","Esperando data de Escáner de Tarjeta Id… ¡Favor esperar!","Aguardando dados do Digitalizador de Carteira de Identidade... Favor aguardar!"
,,
"Validation unsuccessful!!! Wrong printer configured","¡¡¡Validación fallida!!! Impresora incorrecta configurada","Erro na validação!!! Impressora errada configurada"
"Validation unsuccessful!!! At Least One Active Parameter is Not Set","¡¡¡Validación fallida!!! Al Menos Un Parámetro Activo No Está Configurado","Erro na validação!!! Pelo Menos um Parâmetro Ativo Não Está Definido"
"Validation unsuccessful!!! At Least One Active Denom Must Be Selected","¡¡¡Validación fallida!!! Debe Seleccionarse Al Menos Una Denom Activa","Erro na validação!!! Pelo Menos uma Denom Ativo Deve Ser Selecionada"
"Validation unsuccessful!!! Currency cannot be empty.","¡¡¡Validación fallida!!! La divisa no puede estar vacía.","Erro na validação!!! A moeda não pode estar vazia."
"Validation unsuccessful!!! Currency code must contain 3 alphabetic symbols","¡¡¡Validación fallida!!! El código de moneda debe contener 3 símbolos alfabéticos","Erro na validação!!! O código de moeda deve conter 3 símbolos alfabéticos"
"Validation unsuccessful!!! Bill Validator Type is Not Accepted","¡¡¡Validación fallida!!! El Tipo de Validador de Billetes No es Aceptado","Erro na validação!!! O Tipo de Validador de Notas não é aceito"
"Validation unsuccessful!!! At Least One Channel is Not Set","¡¡¡Validación fallida!!! Al Menos Un Canal No Está Configurado","Erro na validação!!! Pelo Menos Um Canal Não Está Definido"
"Validation unsuccessful!!! Setup Mode is Not Set","¡¡¡Validación fallida!!! El Modo de Configuración No Está Configurado","Erro na validação!!! O Modo De Configuração Não Está Definido"
"Validation unsuccessful!!! Invalid gamble limit set","¡¡¡Validación fallida!!! Límite de Apuesta Configurado Inválido","Erro na validação!!! Limite de aposta inválido definido"
"Validation unsuccessful!!! At least one language must be enabled","¡¡¡Validación fallida!!! Al menos un idioma ha de estar activo","Erro na validação!!! Pelo menos um idioma deve estar ativado"
"Validation unsuccessful!!! Parameter Jurisdiction is Not Set","¡¡¡Validación fallida!!! El Parámetro Jurisdicción No Está Configurado","Erro na validação!!! O Parâmetro Jurisdição Não Está Definido"
"Validation unsuccessful!!! Parameter Subjurisdiction is Not Set","¡¡¡Validación fallida!!! El Parámetro Suburisdicción No Está Configurado","Erro na validação!!! O Parâmetro Subjurisdição Não Está Definido"
"Validation unsuccessful!!! This jurisdiction is not allowed","¡¡¡Validación fallida!!! La jurisdicción no está permitida","Erro na validação!!! Esta jurisdição não é permitida"
"Validation unsuccessful!!! %1 > %2","¡¡¡Validación fallida!!! %1 > %2","Validação sem sucesso!!! %1 > %2"
"Validation unsuccessful!!! %1 is Zero","¡¡¡Validación fallida!!! %1 es Cero","Validação sem sucesso!!! %1 é Zero"
"Validation unsuccessful!!! %1 is infinite. %2 is finite","¡¡¡Validación fallida!!! %1 is infinito. %2 is finito","Validação sem sucesso!!! %1 é infinito. %2 é finito"
"Validation unsuccessful!!! %1 is less than one coin value","¡¡¡Validación fallida!!! %1 es menor que el valor de una moneda","Validação sem sucesso!!! %1 é menor que o valor de uma moeda"
"WARNING!!! 'In-House In Limit' in AFT Page reset!","¡¡¡PELIGRO!!! ¡'Límite Interno de Entrada' en Página de AFT reiniciado!","ALERTA!!! “Limite de Entrada Dentro da Casa” na Página AFT redefinido!"
"Validation unsuccessful!!! Both Voucher Out and Handpay Validation are disabled","¡¡¡Validación fallida!!! Tanto Salida de Vale como Validación de Pago en Mano están desactivados","Erro na validação!!! A Validação de Pagamento Manual e a Saída de Cupom estão ambas desativadas"
"Validation unsuccessful!!! Voucher In/Out and Handpay Validation must be on one channel","¡¡¡Validación fallida!!! Entrada/Salida de Vale y Validación de Pago en Mano han de estar en un canal","Erro na validação!!! A Validação de Pagamento Manual e a Entrada/Saída de Cupom devem estar em um único canal"
"Validation unsuccessful!!! Handpay Reporting should be enabled at least at one channel","¡¡¡Validación fallida!!! El Reporte de Pago en Mano ha de estar activado en al menos un canal","Erro na validação!!! Os Relatórios de Pagamentos Manuais devem estar ativados em pelo menos um canal"
"Invalid SAS channel address!!! Enter a number between 0 and 127","¡¡¡Dirección de canal SAS inválida!!! Introduzca un entero entre 0 y 127","Endereço de canal SAS inválido!!! Insira um número entre 0 e 127"
"Invalid SAS group!!! Enter a number between 1 and 255","¡¡¡Grupo SAS inválido!!! Introduzca un entero entre 1 y 255","Grupo SAS inválido!!! Insira um número entre 1 e 255"
"Invalid number of expiration days!!! Enter a number between 0 and 255","¡¡¡Número de días de vencimiento inválido!!! Introduzca un entero entre 0 y 255","Número inválido de dias de validade!!! Insira um número entre 0 e 255"
"Invalid jackpot ID!!! Enter a number between 1 and 65535","¡¡ID de jackpot inválido!!! Introduzca un entero entre 1 y 65535","ID do Jackpot inválido!!! Insira um número entre 1 e 65535"
"The minimum number of allowed denominations is %1!!!","¡¡¡Mínimo %1 denominaciones permitidas!!!","O número mínimo de denominações permitidas é %1!!!"
"The maximum number of allowed denominations is %1!!!","¡¡¡Máximo %1 denominaciones permitidas!!!","O número máximo de denominações permitidas é %1!!!"
"Invalid play station ID!!! Enter a number between 1 and 255","¡¡¡ID de estación de juego inválido!!! Introduzca un entero entre 1 y 255","ID de estação de jogo inválido!!! Insira um número entre 1 e 255"
"Validation unsuccessful!!! Chip Value %1 cannot be less than %2!","¡¡¡Validación fallida!!! ¡El Valor de Ficha %1 no puede ser inferior a %2!","Erro na validação!!! O Valor da Ficha %1 não pode ser menor que %2!"
"Validation unsuccessful!!! Chip Value %1 cannot be more than %2!","¡¡¡Validación fallida!!! ¡El Valor de Ficha %1 no puede ser superior a %2!","Erro na validação!!! O Valor da Ficha %1 não pode ser maior que %2!"
"Validation unsuccessful!!! Chip Value %1 must be less than Chip Value %2!","¡¡¡Validación fallida!!! ¡El Valor de Ficha %1 ha de ser inferior al Valor de Ficha %1!","Erro na validação!!! O Valor da Ficha %1 deve ser menor que o Valor da Ficha %2!"
"Validation unsuccessful!!! Repeat Partial is not set!!!","¡¡¡Validación fallida!!! ¡¡¡Repetri Parcial no está configurado!!!","Erro na validação!!! Repetir Parcial não está definido!!!"
"Validation unsuccessful!!! Min %1 cannot be %2 %3!","¡¡¡Validación fallida!!! ¡El min %1 no puede ser %2 %3!","Erro na validação!!! %1 Mín. não pode ser %2 %3!"
"Validation unsuccessful!!! Min %1 cannot be %2 Max %3!","¡¡¡Validación fallida!!! ¡El min %1 no puede ser %2 Máx %3!","Erro na validação!!! %1 Mín. não pode ser %2 %3 Máx.!"
"Validation unsuccessful!!! Max %1 must be a multiple of denomination!","¡¡¡Validación fallida!!! ¡El máx %1 ha de ser un múltiplo de la denominación!","Erro na validação!!! %1 Máx. deve ser um múltiplo da denominação!"
"Validation unsuccessful!!! Max %1 cannot be %2 Game Max Bet!","¡¡¡Validación fallida!!! ¡El máx %1 no puede ser %2 de la Apuesta Máx de Juego!","Erro na validação!!! %1 Máx. não pode ser %2 Aposta Máx. do Jogo!"
"Validation unsuccessful!!! %1 cannot be %2 %3","¡¡¡Validación fallida!!! %1 no puede ser %2 %3","Erro na validação!!! %1 não pode ser %2 %3!"
"Invalid server IP address!!!","¡¡¡Dirección IP de servidor inválida!!!","Endereço IP do servidor inválido!!!"
"Invalid machine IP!!!","¡¡¡IP de máquina inválida!!!","IP da máquina inválido!!!"
"Invalid gateway address!!!","¡¡¡Dirección de puerta de enlace inválida!!!","Endereço de gateway inválido!!!"
"Invalid multicast address!!!","¡¡¡Dirección de multicast inválida!!!","Endereço de multicast inválido!!!"
"Invalid streamer address!!!","¡¡¡Dirección de streamer inválida!!!","Endereço de streamer inválido!!!"
"Invalid port!!! Enter a number between 0 and 65535","¡¡¡Puerto inválido!!! Introduzca un entero entre 0 y 65535","Porta inválida!!! Insira um número entre 0 e 65535"
"There is an empty IP field","Hay un campo de IP vacío","Há um campo de IP vazio"
"There is an IP field with default and meaningless value","Hay un campo IP con valor predeterminado y sin significado","Há um campo de IP com valor padrão e sem sentido"
"Machine IP, Gateway IP and Server IP addresses must be different","La dirección IP de la máquina, la dirección IP de la puerta de enlace y la dirección IP del servidor deben ser diferentes","Os endereços IP da Máquina, IP do Gateway e IP do Servidor devem ser diferentes"
"The correct streamer IP address must be in range from %1.x.x.x to %2.x.x.x","La dirección IP correcta de streamer ha de ir de un rango entre %1.x.x.x y %2.x.x.x","O endereço IP correto do Streamer deve estar no intervalo de %1.x.x.x a %2.x.x.x"
"Validation unsuccessful!!! At least one denomination should be enabled!","¡¡¡Validación fallida!!! ¡Al menos una denominación ha de estar activa!","Erro na validação!!! Pelo menos uma denominação deve estar habilitada!"
"Total Tip","Punta Total","Gorjeta Total"
"Last Period Clear","Ultimo Periodo Claro","Último Período Limpo"
"Wheel network settings were changed. Please make the same changes in the Roulette Network Page","Wheel network settings were changed. Please make the same changes in the Roulette Network Page","As configurações de rede da roda foram alteradas. Favor fazer as mesmas alterações na Página de Rede de Roleta"
,,
"ERROR OPENING TEST PICTURE","ERROR ABRIENDO IMAGEN DE TEST","ERRO AO ABRIR IMAGEM DE TESTE"
,,
"Background color:","Color de Fondo:","Cor de fundo:"
"Lines color:","Color de Líneas:","Cor das linhas:"
"Speed:","Velocidad:","Velocidade:"
,,
"Visual test. Top lights have to blink: top lights 1 and 3 - in phase, top light 2 - in opposite phase.","Test visual. Las luces superiores han de parpadear: luces superiores 1 y 3 - en fase, luz superior 2 - en fase opuesta.","Teste visual. As luzes superiores devem piscar: luzes superiores 1 e 3 - em fase; luz superior 2 - em fase oposta."
"Top Light ","Luz Superior","Luz Superior"
,,
"Setup Mode:","Modo de Configuración:","Modo de Configuração:"
"Auto","Auto","Automático"
"Manual","Manual","Manual"
,,
"Auto Mode:","Modo Auto:","Modo Automático:"
"Fast Mode:","Modo Rápido:","Modo Rápido:"
"SAS LPOLL AA Behaviour:","Comportamiento SAS LPOLL AA:","Comportamento SAS LPOLL AA:"
"Gamble Game:","Juego Apuesta:","Jogo de Aposta:"
"Max Gamble Attempts:","Intentos de Apuesta Máx:","Tentativas Máx. de Apostar:"
"Gamble Limit:","Límite de Apuesta:","Limite de Aposta:"
,,
