"KEY","EN","BG","ESP","PT"
"STR_IMPORT_SETTINGS","Import Settings","Въвеждане на настройки","Importar Configuración","Configurações de Importação"
"STR_MARKET_SETTINGS","Market Settings","Маркет настройки","Market Configuración","Configurações de Mercado"
"STR_IMPORT_GAMES_SETTINGS","Import Games Settings","Въвеждане на настройки на игрите","Importar Juego Configuración","Importar Configurações de Jogos"
"STR_GAME_VERSION_MISMATCH","Game Version Mismatch","Разминаване във версиите на игрите","Versiones de Juego No Coincidentes","Versão do Jogo Incompatível"
"STR_JURISDICTION_VERIFICATION_FAILED","Invalid Jurisdiction Configuration","Невалидна юрисдикционна конфигурация","Configuración de Jurisdicción Incorrecta","Configuração de Jurisdição Inválida"
"STR_MARKET_VERIFICATION_FAILED","Invalid Market Configuration",,"Configuración de Mercado Incorrecta","Configuração de Mercado Inválida"
"STR_PROGRAMS_VERSIONS","Programs Versions","Програмни версии","Versiones de Programas","Versões de Programas"
"STR_DEBUG_LOG","Debug Log","Отстраняване на грешки","Registro de Debug","Registro de Resolução de Bugs"
"STR_HISTORY","History","История","Historial","Histórico"
"STR_MAIN_GAME_HISTORY","Game History","История на игрите","Historial de Juego","Histórico do Jogo"
"STR_CONVERTER_GAME_HISTORY","Converter Game History","История на конверторните игри","Historial de Juego de Conversión","Histórico do Jogo Conversor"
"STR_LOGS","Logs","Логове","Registros","Registro"
"STR_ALL_EVENTS_LOG","All Events Log","Всички данни за събития","Registro de Todos los Eventos","Registro de Todos os Eventos"
"STR_ALL_NETWORK_LOGS","All Network Logs","Всички записвания на мрежата","Todos los Registros de Red","Todos os Registros de Rede"
"STR_NETWORK_LOGS","Network Logs","Записване на мрежа","Registros de Red","Registros de Rede"
"STR_SAS_PROGRESSIVE","SAS Progressive","SAS Прогресивен ","SAS Progresivo","SAS Progressivo"
"STR_PPC_MYSTERY","PPC Mystery","Мистери PPC","PPC Misterio","Mistério do PPC"
"STR_GENERAL_SETUP","General Setup","Общи настройки","Conf. General","Configuração Geral"
"STR_JURISDICTION_SETUP","Jurisdiction Setup","Настройка на юрисдикцията","Ajuste de Jurisdicción","Configuração de Jurisdição"
"STR_DEVICE_SETUP","Device Setup","Настройка на устройството","Ajuste de Dispositivo","Configuração do Dispositivo"
"STR_MONETARY_SETTINGS","Monetary Settings","Парични настройки","Configuración Monetaria","Configurações Monetárias"
"STR_CASH_OUT_OPTIONS","Cash Out Options","Опции за изплащане","Opciones de Retirada","Opções de Saque"
"STR_BILL_VALIDATOR_CHANNELS","Bill Validator Channels","Канали на банкното-валидатор","Canales de Validados de Billetes","Canais Validadores de Notas"
"STR_MECHANICAL_COUNTERS","Mechanical Counters","Механични броячи","Contadores Mecánicos","Contadores Mecânicos"
"STR_LIMITS_SETUP","Limits Setup","Ограничава настройката","Ajuste de Límites","Configuração de Limites"
"STR_AUTO_GAMBLE","Auto/Gamble","Автоматични игри","Auto/Apuesta","Automático/Apostar"
"STR_VLT_SETUP","%productLable Setup","Настройка на %productLable","Ajuste %productLable","Configuração de %productLable"
"STR_VLT_COMMON","Common","Común","Comum"
"STR_SAS_SETUP","SAS Setup","Настройка на SAS","Ajuste SAS","Configuração SAS"
"STR_SAS_COMMON","Common","Често срещани","Común","Comum"
"STR_SAS_CHANNELS","Channels","Канали","Canales","Canais"
"STR_SAS_VOUCHER_DATA","Voucher Data","Данни за ваучерите","Datos de Vale","Dados do Cupom"
"STR_SAS_AFT_SETUP","AFT","AFT","AFT","AFT"
"STR_REAL_TIME_CLOCK","Real Time Clock","Часовник в реално време","Reloj Tiempo Real","Relógio com Horário Real"
"STR_MACHINE_INFO","Machine Info","Информация за машината","Info de Máquina","Informações da Máquina"
"STR_LAMP_TEST_MASK","Lamp Test Mask","Тестване на лампа","Máscara de Test de Lámpara","Máscara do Teste da Iluminação"
"STR_LANGUAGES_SETUP","Languages Setup","Настройки на езиците","Ajuste de Idiomas","Configuração de Idiomas"
"STR_MONITOR_SETUP","Monitor Setup","Настройка на монитора","Ajuste de Monitor","Configuração do Monitor"
"STR_GAME_SETUP","Game Setup","Настройки","Ajuste de Juego","Configuração do Jogo"
"STR_COMMON_SETUP","Common Setup","Общи Настройка","Ajuste Común","Configuração Comum"
"STR_GAME_PLAY","Game Play","Играй играта","Juego","Jogabilidade"
"STR_GAMES_SETTINGS","Games Settings","Настройки на игри","Configuración de Juegos","Configurações de Jogos"
"STR_GAME_MODE","Game Mode","Настройки на игри","Configuración de Juegos","Modo de Jogo"
"STR_GAME_SELECT_VIEW","Game Select View","Изглед избор на игра","Vista de Selección de Juego","Visualização de Seleção de Jogo"
"STR_GAME_TILE_SMALL","SMALL","МАЛКА","PEQUEÑO","PEQUENO"
"STR_GAME_TILE_BIG","BIG","ГОЛЯМА","GRANDE","GRANDE"
"STR_GAME_TILE_SIZE","BUTTON SIZE","Размер","TAMAÑO DE BOTÓN","TAMANHO DO BOTÃO"
"STR_GAME_NAME","GAME NAME","ИМЕ НА ИГРАТА","Nombre del juego","NOME DO JOGO"
"STR_GAME_PAGES","PAGES FOR BIG BUTTON'S","Страници","PÁGINAS PARA BOTONES GRANDES","PÁGINAS PARA BOTÕES GRANDES"
"STR_GAME_VIEW_RESET","RESET ALL","ИЗЧИСТИ ВСИЧКО","REINICIAR TODO","REDEFINIR TUDO"
"STR_GAME_VIEW_RESET_PAGES","RESET PAGES","ИЗЧИСТИ СТРАНИЦИТЕ","REINICIAR PÁGINAS","REDEFINIR PÁGINAS"
"STR_GAME_VIEW_EDIT","EDIT BUTTONS' SIZE","ПРОМЕНИ РАЗМЕРА","EDITAR TAMAÑO DE BOTÓN","EDITAR TAMANHO DOS BOTÕES"
"STR_GAME_VIEW_PROCEED","PROCEED","ПРОДЪЛЖИ","PROCEDER","CONTINUAR"
"STR_GAME_ROULETTE_CLIENT","Roulette","Рулетка","Ruleta","Roleta"
"STR_GAME_PAGES_VALIDATION","%1 - Page not selected","1% - страницата не е избрана","%1 - Página no seleccionada","%1 - Página não selecionada"
"STR_GAME_PAGES_NOT_SAVED","Validation unsuccessful!!! Pages Are Not Saved","Страниците не са запазени.","¡¡¡Validación fallida!!! Páginas No Guardadas","Erro na validação!!! As páginas não estão salvas"
"STR_GAME_MAX_GAMES_PER_PAGE_REACHED","Max big buttons for page %1 reached","Максимален брой игри на страница %1 достигнат","Máx de botones grandes por página %1 alcanzado","Limite máx. de botões grandes para a página %1 atingido"
,,,
"STR_GAME_VIEW_INFO_BUTTONS","• Select big buttons","• Изберете големи бутони","• Seleccionar botones grandes","• Selecionar botões grandes"
"STR_GAME_VIEW_MAX_BIG","• Maximum number of big buttons %1","• Максимален брой големи бутони %1","• Número máximo de botones grandes %1","• Número máximo de botões grandes %1"
"STR_GAME_VIEW_BIG_LEFT","• Big buttons left %1","• Оставащи големи бутони %1","• Botones grandes restantes %1","• Botões grandes restantes %1"
"STR_GAME_VIEW_READY","• When ready press PROCEED","• При избрани големи бутони натиснете ПРОДЪЛЖИ","• Cuando esté listo pulse PROCEDER","• Quando estiver pronto, aperte CONTINUAR"
"STR_GAME_VIEW_SELECT","• Select page for every big button","• Изберете страница за всеки голям бутон","• Seleccione página para cada botón grande","• Selecionar a página para cada botão grande"
,,,
"STR_JACKPOTS_SETUP","Jackpots Setup","Настройка на JP","Ajuste de Jackpots","Configuração de Jackpots"
"STR_GAME_JP_ASSIGNMENT","Game JP Assignment","Определяне на джакпота на играта","Asignación de JP de Juego","Atribuição de Jackpot do Jogo"
"STR_PPJS","PPJS","PPJS","PPJS","PPJS"
"STR_SECOND_MONITOR_SETTINGS","Second Monitor Settings","Втората настройка на монитора","Ajuste de Segundo Monitor","Configurações do Segundo Monitor"
"STR_STAND_ALONE","Stand Alone","Застанете сами","Independiente","Independente"
"STR_SERVICE","Service","Обслужване","Servicio","Serviço"
"STR_HOPPER_FILL","Hopper Fill","Хопър пълни","Llenado de Tolva","Enchimento da Cesta"
"STR_AUTHORIZATION","Authorization","Упълномощаване","Autorización","Autorização"
"STR_DEAUTHORIZATION","Deauthorization","Разрешение","Desautorización","Desautorização"
"STR_LIFETIME_COUNTERS","Lifetime Counters","Доживотни броячи","Contadores Contínuos","Contadores Desde o Início"
"STR_BLACKJACK_INSURANCE","When to offer Insurance:","Кога да се предлага застраховка:","Cuándo ofrecer Seguro:","Quando oferecer Seguro:"
"STR_BLACKJACK_DOUBLE_AFTER_SPLIT","Double After Split is:","Double след Split e:","Doblar tras Dividir es:","Dobrar após uma Divisão está:"
"STR_BLACKJACK_SPLIT_ACES","Split Aces is:","Cплита на Аса е:","Dividir Ases es:","Ases Divididos estão:"
"STR_BLACKJACK_SURRENDER","Early Surrender is:","Early Surrender e:","Rendición Temprana es:","A Desistência Antecipada está:"
"STR_BLACKJACK_REPORT_GAME_START_ON_CYCLE_END","Report game start on cycle end:","Reportar inicio de juego a fin de ciclo:","Informar o início do jogo no final do ciclo:"
"STR_BLACKJACK_RTP","Game Variant for All Player Denominations:","Варианти за всички деноминации:","Variante de Juego para Todas las Denominaciones de Jugadores","Variante de Jogo para Todas as Denominações de Jogadores:"
"STR_MULTIPLAYER_BET_AND_WIN_INFO","Bets and Wins by Fields:","Залози и печалби по полета:","Apuestas y Ganancias por Campos:","Apostas e Prêmios por Campo:"
"STR_MULTIPLAYER_BET_FIELD","Field: ","Поле: ","Campo:","Campo:"
"STR_MULTIPLAYER_BET","Bet: ","Залог:","Apuesta:","Aposta:"
"STR_MULTIPLAYER_WIN","Win: ","Печалба:","Premio:","Prêmio:"
"STR_MULTIPLAYER_GAME_START_AND_END_SIMULTANEOUSLY","Game Start & End Simultaneously:","","Juego Comienza y Termina Simultáneamente","Início e Fim do Jogo Simultâneos:"
"STR_BLACKJACK_INSURANCE_BET","Insurance Bet: ","Залог при застраховка:","Apuesta Seguro:","Aposta de Seguro:"
"STR_BLACKJACK_INSURANCE_WIN","Insurance Win: ","Печалба при застраховка:","Premio Seguro:","Prêmio de Seguro:"
"STR_BLACKJACK_HAND_SCORE","Hand Score: ","Резултат:","Resultado de Mano:","Pontuação da Mão:"
"STR_MULTIPLAYER_PLAYER_SCORE","Player's Score: ","Резултат на играча:","Resultado de Jugador:","Pontuação do Jogador:"
"STR_MULTIPLAYER_PLAYER_CARDS","Player's Cards: ","Карти на играча:","Cartas del Jugador:","Cartas do Jogador:"
"STR_MULTIPLAYER_DEALER_SCORE","Dealer's Score: ","Резултат на дилъра:","Resultado del Crupier:","Pontuação do Crupiê:"
"STR_MULTIPLAYER_DEALER_CARDS","Dealer's Cards: ","Карти на дилъра:","Cartas del Crupier:","Cartas do Crupiê:"
"STR_MULTIPLAYER_PAIR","Pair","Чифт","Pareja","Par"
"STR_MULTIPLAYER_NATURAL","Natural","Естествена","Natural","Natural"
"STR_MULTIPLAYER_FROG","Frog","Жаба","Rana","Sapo"
"STR_MULTIPLAYER_FISH","Fish","Риба","Pez","Peixe"
"STR_GAME_TEST","Game Test","Тест Игра","Test de Juego","Teste de Jogo"
"STR_CHIP_BET","BET","ЗАЛОГ","APUESTA","APOSTA"
"STR_MULTIPLAYER_BANKER_SCORE","Banker's Score: ","Резултат на банкера:","Resultado de la Banca:","Pontuação do Banqueiro:"
"STR_MULTIPLAYER_BANKER_CARDS","Banker's Cards: ","Карти на банкера:","Cartas de la Banca:","Cartas do Banqueiro:"
,,,
"STR_NVRAM_LAST_CLEARED","Cleared: %1","Изчистено: %1","Limpiado: %1","Limpo: %1"
"STR_SERIAL_NO","No: %1","No: %1","Nº: %1","№: %1"
"STR_KEY_TYPE_CASHIER","Cashier","Касиер","Cajero","Caixa"
"STR_KEY_TYPE_ADMIN","Admin","Админ","Admin","Administrador"
"STR_KEY_TYPE_OWNER","Owner","Собственик","Propietario","Proprietário"
"STR_KEY_TYPE_UNKNOWN","Unknown","Неизвестен","Desconocido","Desconhecido"
,,,
"STR_DESCRIPTION","Description:","Описание:","Descripción:","Descrição:"
"STR_STATE_DISABLED","Test disabled","Тестът не е активен","Test desactivado","Teste desativado"
"STR_STATE_SHORT_CIRCUIT","Short circuit","Късо съединение","Cortocircuito","Circuito curto"
"STR_STATE_OPEN_CIRCUIT","Open circuit","Отворена верига","Circuito abierto","Circuito aberto"
"STR_STATE_OK","Ok","Ok","Ok","OK"
"STR_STATE_PRESSED","Pressed","Натиснат","Pulsado","Pressionado"
,,,
"STR_BUTTON_CASH_OUT","Cash Out","Изплащане","Cobrar","Sacar"
"STR_BUTTON_SERVICE","Service","Обслужване","Servicio","Serviço"
"STR_BUTTON_SELECT_GAME","More Games","Още Игри","Más juegos","Mais Jogos"
"STR_BUTTON_AUTO_PLAY","Auto Play","Автоматично изпълнение","Auto Play","Jogo Automático"
"STR_BUTTON_GAMBLE_SELECT_LINE","Gamble/Red Select Lines","Удвояване/Червено Избор на Линия","Doblar/Rojo Seleccionar Líneas","Apostar/Vermelho Selecionar Linhas"
"STR_BUTTON_GAMBLE_SELECT_BET","Gamble/Black Select Bet","Удвояване/Черно Избор на Залог","Doblar/Negro Seleccionar Apuesta","Apostar/Preto Selecionar Aposta"
"STR_BUTTON_TAKE_WIN","Take Win","Вземи печалба","Tomar Ganancia","Pegar Prêmio"
"STR_BUTTON_START","Start","Старт","Inicio","Começar"
"STR_BUTTON_START_STOP","Start/Stop","Старт/Стоп","Start/Stop","Começar/Parar"
"STR_BUTTON_B1","Button B1","Бутон B1","Botón B1","Botão B1"
"STR_BUTTON_B2","Button B2","Бутон B2","Botón B2","Botão B2"
"STR_BUTTON_B3","Button B3","Бутон B3","Botón B3","Botão B3"
"STR_BUTTON_B4","Button B4","Бутон B4","Botón B4","Botão B4"
"STR_BUTTON_B5","Button B5","Бутон B5","Botón B5","Botão B5"
"STR_BUTTON_L1","Button L1","Бутон L1","Botón L1","Botão L1"
"STR_BUTTON_L2","Button L2","Бутон L2","Botón L2","Botão L2"
"STR_BUTTON_L3","Button L3","Бутон L3","Botón L3","Botão L3"
"STR_BUTTON_L4","Button L4","Бутон L4","Botón L4","Botão L4"
"STR_BUTTON_L5","Button L5","Бутон L5","Botón L5","Botão L5"
"STR_BUTTON_TO_CREDITS","To Credits","Към Кредити","A Creditos","Para Créditos"
"STR_BUTTON_TO_POINTS","To Points","Към Toчки","A Puntos","Para Pontos"
"STR_BUTTON_TO_BANK","To Bank","Към Банка","A Banco","Para o Banco"
"STR_BUTTON_AUTOMATIC","Automatic","Автоматично","Automatico","Automático"
"STR_BUTTON_BET","Bet","Залог","Apuesta","Aposta"
,,,
"STR_BILL_VALIDATOR_DOOR","Bill Validator Door","Банкнотo валидатор","Puerta de Validador de Billetes","Porta do Validador de Notas"
"STR_MAIN_DOOR","Main Door","Главната Врата","Puerta Principal","Porta Principal"
"STR_DROP_DOOR","Drop Door",,"Puerta de Caída","Porta de Queda"
"STR_BILL_STACKER_BOX_DOOR","Bill Stacker Box Door",,"Puerta de Apilador de Billetes","Porta da Caixa do Empilhador de Notas"
"STR_BELLY_DOOR","Belly Door","Издутина във вратата","Puerta Central","Porta da Barriga"
"STR_TOP_BOX_DOOR","Top Box Door","Врата на най-горната кутия","Puerta de Caja Superior","Porta da Caixa Superior"
"STR_EXT_DOOR","Door Ext","Външна врата","Puerta Ext","Porta Ext"
"STR_LOGIC_DOOR","Logic Door","Врата към управлението","Puerta Lógica","Porta Lógica"
,,,
"STR_DOOR_OPENED","Opened","Отворен","Abierta","Aberta"
"STR_DOOR_CLOSED","Closed","Затворен","Cerrada","Fechada"
,,,
"STR_ATTENDANT_KEY","Attendant 0","Крупие 0","Attendant 0","Atendente 0"
"STR_CASHIER_KEY","Cashier 0","Касиер 0","Cashier 0","Caixa 0"
"STR_ADMIN_KEY","Admin 0","Администратор 0","Admin 0","Administrador 0"
"STR_OWNER_KEY","Owner 0","Собственик 0","Owner 0","Proprietário 0"
,,,
"STR_KEY_NONE","No Key","Няма ключ","Sin Llave","Sem Chave"
"STR_KEY_PRESENT","Present","Настоящ","Presente","Presente"
,,,
"STR_BATTERY_LEVEL","Battery Level","Ниво на батерията","Nivel del Batería","Nível de Bateria"
,,,
"STR_BATTERY_OK","Operational","Оперативен","Operativo","Operacional"
"STR_BATTERY_LOW","Low","Ниско","Bajo","Baixo"
,,,
"STR_SOUND_MAIN_VOLUME","Volume: %1","Сила на звука: %1","Volumen: %1","Volume: %1"
"STR_SOUND_MIN_VOLUME","Min volume must be at least %1","Минималната сила на звука трябва да бъде поне %1","El volumen mínimo debe ser al menos %1","O volume mín. deve ser pelo menos %1"
,,,
"STR_NETWORK_MAC","MAC address:","MAC адрес:","Dirección MAC:","Endereço MAC:"
"STR_NETWORK_IP","IP address:","IP адрес:","Dirección IP:","Endereço IP:"
,,,
"STR_VERSIONS_GAME_VERSION","Game Version:","Игрова версия:","Versión del Juego:","Versão do Jogo:"
"STR_VERSIONS_GAME_FLASH_SHA1","Game Partition SHA-1:","SHA-1 на игрови дял:","Flash SHA-1 de Juego:","Partição SHA-1 do Jogo:"
"STR_VERSIONS_GAME_FLASH_SHA256","Game Partition SHA-256:","SHA-256 на игрови дял:","Flash SHA-256 de Juego:","Partição SHA-256 do Jogo:"
"STR_VERSIONS_SYSTEM_VERSION","System Version:","Системна версия:","Versión de Sistema:","Versão do Sistema:"
"STR_VERSIONS_SYSTEM_FLASH_SHA1","System Partition SHA-1:","SHA-1 на системен дял:","Flash SHA-1 de Sistema:"
"STR_VERSIONS_SYSTEM_FLASH_SHA256","System Partition SHA-256:","SHA-256 на системян дял:","Flash SHA-256 de Sistema:"
"STR_VERSIONS_FLASH_DISK_SHA1","Flash Disk Signature SHA-1:",,
"STR_VERSIONS_FLASH_DISK_MD5","Flash Disk Signature MD5:",,
"STR_VERSIONS_FLASH_DISK_2_SHA1","Second Flash Disk Signature SHA-1:",,
"STR_VERSIONS_FLASH_DISK_2_MD5","Second Flash Disk Signature MD5:",,
"STR_VERSIONS_BILL_VALIDATOR_DATA","Bill Validator Data:","Данни за Банкното-Валидатора:","Datos de Validador de Billetes:","Dados do Validador de Notas:"
"STR_VERSIONS_ID_READER_DATA","ID Card Scanner Data:",,"Datos de Escáner de Tarjeta ID:","Dados do Digitalizador de Carteira de Identidade:"
"STR_VERSIONS_TICKET_PRINTER_DATA","Ticket Printer Data:","Данни за принтирани билети:","Datos de Impresora de Tickets:","Dados da Impressora de Bilhetes:"
"STR_VERSIONS_COMMIT_ID","Commit ID:","Къмит ID:","Commit ID:","ID de Confirmação:"
"STR_VERSIONS_MAIN_TOUCH_SCREEN_ID","Main Touch VID:PID:","Главен Тъч екран VID:PID:","Versión de Sistema:","VID:PID da Tela Sensível ao Toque Principal:"
"STR_VERSIONS_VKB_TOUCH_SCREEN_ID","Video Keyboard Touch VID:PID:","Видео Клавиатува Тъч екран VID:PID:","Versión de Sistema:","VID:PID da Tela Sensível ao Toque do Teclado de Vídeo:"
"STR_VERSIONS_CABINET_ID","Cabinet ID:","Кабинет ID:","Versión de Sistema:","ID do Gabinete:"
"STR_SAS_ROM_SIGNATURE_ID","SAS ROM Signature:","","Firma ROM SAS:","Assinatura ROM SAS:"
,,,
"STR_FIRST_TOUCHSCREEN","FIRST TOUCHSCREEN","ПЪРВИ ТЪЧ ЕКРАН","PRIMERA PANTALLA TÁCTIL","PRIMEIRA TELA SENSÍVEL AO TOQUE"
"STR_CALIBRATION_TEST","CALIBRATION TEST","КАЛИБРАЦИОНЕН ТЕСТ","TEST DE CALIBRACIÓN","TESTE DE CALIBRAÇÃO"
"STR_TOUCH_HERE","TOUCH HERE!","НАТИСНИ ТУК!","¡TOQUE AQUÍ!","TOQUE AQUI!"
,,,
"STR_CALIBRATE_VIDEO_VKB","Calibrate video keyboard","Калибрирайте видео клавиатурата","Calibrar el teclado de video","Calibrar teclado de vídeo"
"STR_CALIBRATE_VIDEO_VKB_FINISHED","Video keyboard calibration finished","Калибрацията на видео клавиатурата приключи","Terminó la calibración del teclado de video","Calibração do teclado de vídeo concluída"
,,,
"STR_NOT_SET","Not Set","Не е зададено","No Configurado","Sem Definição"
"STR_ENABLE","Enable","Влючване","Activar","Habilitar"
"STR_DISABLE","Disable","Изключване","Desactivar","Desabilitar"
"STR_NOT_IN_USE","Not In Use","Не се използва","No en Uso","Fora de Uso"
"STR_NONE","None","Нито един","Ninguno","Nenhum"
"STR_FIXED","Fixed","Фиксирани","Arreglado","Fixo"
"STR_SELECTABLE","Selectable","Избираеми","Seleccionable","Selecionável"
"STR_A_ONLY","vs.A only","само срещу А","vs.A solo","apenas vs.A"
"STR_SEVEN_TO_A","vs.7-A","срещу 7-A","vs.7-A","vs.7-A"
"STR_ENABLE_NOT_A","Enabled vs.2-K","Разрешен не А","vs.2-K activado","vs.2-K habilitada"
"STR_ENABLE_ALL","Enabled vs.2-A","Винаги разрешен","vs.2-A activado","vs.2-A habilitada"
"STR_SLOW","Slow","Бавно","Lento","Lento"
"STR_MEDIUM","Medium","Средно","Medio","Médio"
"STR_FAST","Fast","Бързо","Rápido","Rápido"
,,,
"STR_PAYMENT_HOPPER","Payment on Empty Hopper:",,"Pago en Tolva Vacía:","Pagamento na Cesta Vazia:"
"STR_PAYMENT_TOKEN","Fractional Token Payment:",,"Pago Fraccionado en Token:","Pagamento de Token Fracionário:"
,,,
"STR_JURISDICTION","Jurisdiction:","Юрисдикция","Jurisdicción:","Jurisdição:"
"STR_SUBJURISDICTION","Subjurisdiction:","Подюрисдикция","Subjurisdicción:","Subjurisdição:"
"STR_CASH_IN_OUT_BEHAVIOR","Cash In/Out behavior:"," "," "
"STR_JURISDICTION_STANDARD","Standard","Стандард","Estándar","Padrão"
"STR_JURISDICTION_HUNGARY_25","Hungary - 25","Унгария -25","Hungría - 25","Hungria - 25"
"STR_JURISDICTION_HUNGARY_200","Hungary - 200","Унгария -200","Hungría - 200","Hungria - 200"
"STR_JURISDICTION_HUNGARY_500","Hungary - 500","Унгария -500","Hungría - 500","Hungria - 500"
"STR_JURISDICTION_FRANCE","France","Франция","Francés","França"
"STR_JURISDICTION_SOUTH_AFRICA","South Africa","Южна Африка","Sudafricano","África do Sul"
"STR_JURISDICTION_SWITZERLAND_A","Switzerland A","Швейцария A","Suiza A","Suíça A"
"STR_JURISDICTION_SWITZERLAND_B","Switzerland B","Швейцария Б","Suiza B","Suíça B"
"STR_JURISDICTION_GLI_11","GLI 11","GLI 11","GLI 11","GLI 11"
"STR_JURISDICTION_BELARUS","Belarus","Беларус","Bielorrusia","Bielorrússia"
"STR_JURISDICTION_AUSTRALIA","Australia","Австралия","Australia","Austrália"
"STR_JURISDICTION_CZECH_REPUBLIC","Czech Republic","Чехия","República Checa","Chéquia"
"STR_JURISDICTION_SPAIN_1","Spain 1","Испания 1","España 1","Espanha 1"
"STR_JURISDICTION_SPAIN_2","Spain 2","Испания 2","España 2","Espanha 2"
"STR_JURISDICTION_ROMANIA","Romania","Romania","Romania,,,"Romania","Romênia"
"STR_JURISDICTION_MACEDONIA","Macedonia","Македония","Macedonia,,,"Macedonia","Macedônia do Norte"
"STR_JURISDICTION_SLOVAKIA","Slovakia","Slovakia,Slovakia,,,"Eslovaquia","Eslováquia"
"STR_JURISDICTION_BOSNIA_AND_HERZEGOVINA","Bosnia and Herzegovina","Bosnia and Herzegovina","Bosnia and Herzegovina,,,"Bosnia and Herzegovina,,,","Bósnia e Herzegovina"
"STR_JURISDICTION_CHILE","Chile","Чили","España 2","Chile"
"STR_JURISDICTION_SPAIN_VLT","Spain-vlt","Испания-vlt",
